Hotel name;Rating;Stars;Distance to the sea;Distance to the downtown;Room area;Swimming pool;Price
Evenia Rocafort;7,8;3;2;1,5;11;0;118
Generator Hotel Barcelona;8,2;1;2,5;1;19;0;114
Sall?s Hotel Pere IV;7,8;4;1;1;25;1;114
Sunotel Central;7,7;4;1,5;1;22;1;117
Eurohotel Diagonal Port;7,2;4;0,5;2,5;24;0;125
Hotel Lloret Ramblas;7,9;1;1,5;0,5;11;0;102
Zenit Barcelona;7,9;4;3,5;2,5;12;0;128
Four Points by Sheraton Barcelona Diagonal;8,6;3;1;1,5;20;0;131
Sercotel Abbot Barcelona;7,6;4;2,5;1,5;15;0;99
Hotel Fornos;7,5;2;1;0,5;21;0;98
Vincci Bit;8,4;4;1;4;24;1;108
Vincci Maritimo;8,1;4;0,5;4;25;0;125
Ayre Hotel Caspe;8,5;4;2;1;20;0;133
Catalonia Diagonal Centro;8,2;4;4;3;25;1;131
Hotel Balmoral;8,4;4;4;2,5;20;0;126
Hotel Principal;8;3;1,5;1;18;0;122
Hotel Rialto;7,2;3;1,5;0,5;12;0;140
Cuatro Naciones;8,2;2;1;1;10;0;100
Sunotel Club Central;8;4;2,5;1;22;1;122
Catalonia Sagrada Familia;7,9;3;2,5;2,5;18;1;126
Hotel BarcelonaGo;8,2;2;1,5;1,5;17;0;113
Atiram Oriente;7,5;3;1,5;1;15;0;135
Hesperia del Mar;7,8;4;0,5;3,5;20;0;126
Attica 21 Barcelona Mar;8;4;0,5;4;19;1;149
NH Les Corts;7,7;3;4;3;20;0;151
Hotel Gran Derby Suites;8,3;4;4;2;32;1;138
Barcel? Sants;8,5;4;4,5;2,5;23;0;160
HCC Montblanc;8,1;3;2;0,1;23;1;135
HCC Taber;7,9;3;3;0,5;20;0;130
Hotel & Spa Villa Olimpic;7,4;4;1,5;2;24;1;125
Ciutat Vella;8,2;3;2,5;0,5;15;0;127
H10 Universitat;8,5;4;2,5;0,1;14;0;125
Catalonia Barcelona 505;8,1;4;5;3;18;1;137
Silken Concordia;8,1;4;2,5;1,5;23;0;150
Ayre Hotel Rosell?n;8,4;4;3;2;20;0;143
Onix Liceo;8,2;4;1,5;1;20;1;119
NH Constanza;8,2;4;5;2,5;17;1;163
Tryp Barcelona Apolo Hotel;7,8;4;1,5;1,4;20;0;143
Tryp Barcelona Condal Mar Hotel;7,9;4;1,5;4;22;1;141
Hotel del Mar;7,6;3;1;1,5;12;0;150
H10 Marina Barcelona;8,2;4;1;2;24;1;139
Catalonia Barcelona Plaza ;8,5;4;3,5;2;22;1;141
Hotel Turin;8,5;3;2;0,5;20;0;110
Sant Agust?;7,9;3;1,5;0,5;15;0;126
Atlantis;8,3;3;2;0,5;21;0;120
HCC Regente;8,2;4;3,5;1;18;0;140
Hotel Millenni;7,1;4;2;1,5;22;0;126
Hotel Atlas;7,9;3;2;0,5;18;0;126
H10 Raco del Pi;8,5;3;2;0,5;19;0;135
Hotel Curious;8,8;1;2;0,5;11;0;134
Europark;8,8;3;2,5;1;19;0;167
Silken Diagonal Barcelona;8;4;1,5;2,5;22;0;156
Confortel Bel-Art;7,3;4;3,5;2,5;25;0;173
Acevi Villarroel;8;4;3;1;22;1;147
Best Western Premier Hotel Dante;8,4;4;3,5;1;25;0;138
Aparthotel Mariano Cubi Barcelona;8,1;4;4,5;2;35;0;135
Guitart Grand Passage;7,6;4;4;2;44;0;152
Andante Hotel;8,8;3;2;1;21;1;152
Gaudi Hotel;8,3;3;2;1;20;0;158
Hotel Lle?;8,4;3;2;0,5;23;1;160
Onix Rambla;8,3;3;2,5;0,5;24;1;129
Hotel Grums Barcelona;8,1;4;1,5;0,5;19;1;141
Exe Laietana Palace;7,9;4;0,5;0;13;0;143
B Hotel;8,5;3;1;0,5;30;1;138
Hotel SB Diagonal Zero Barcelona;7,9;4;0,5;3;26;1;140
Hotel G?tico ;7,2;4;3;0;12;0;147
Gran Hotel Barcino ;6,7;4;3;0;21;0;147
Park Hotel;8,1;3;2,5;0;15;0;146
Mes?n Castilla;8,2;2;2,5;0;22;0;148
Musik Boutique Hotel ;9;3;3;0;18;0;153
Evenia Rossello;8,1;4;4;1;18;0;154
Grupotel Gran Via 678 ;8,6;4;5;0;14;1;140
Catalonia Berno;8,3;3;4;1;20;0;152
Catalonia Avinyo ;8,3;4;3;0;15;1;136
Catalonia Born ;8,3;4;4;0;15;1;152
Hotel Jazz ;9;3;4;0;13;1;132
AC Hotel Sants by Marriott ;7,7;4;3;3;19;0;132
Barcelona Atiram Hotels;7,9;4;3;0;20;0;155
Confortel Auditori;7,9;3;1;4;15;1;183
The Mirror Barcelona;8,3;4;4;2;26;1;177
Cram ;8,2;4;4;1;17;1;177
Hotel Continental Barcelona;7,6;3;3;0;13;0;123
HCC St. Moritz ;8,2;4;4;0;20;0;156
Hilton Barcelona ;8,4;4;4;2;25;0;185
Hilton Barcelona Central;8,4;4;3;0;25;0;155
Eurostars Monumental;8;4;4;2;20;0;159
Petit Palace Opera Garden Ramblas;7,1;4;3;0;25;0;152
Hotel Vueling Bcn by HC;8,8;4;3;1;15;1;157
H10 Casanova;8,5;4;3;1;19;0;155
Petit Palace Barcelona ;7,1;4;3;0;20;0;147
Room Mate Pau;8,9;3;3;0;18;0;156
Acta Atrium Palace;8,5;4;4;0;27;1;168
Medinaceli;7,6;4;2;0;23;0;175
Sansi Diputacio;7,8;4;3;0;19;0;149
NH Barcelona Centro;8,4;3;3;0;18;0;183
Barcel? Raval;8,2;4;2,5;0;20;1;180
Ofelias Hotel;8,8;4;2;1;18;1;210
Moderno ;7,8;3;3;1;12;0;128
Barcel? Atenea Mar;8,1;4;0;3;20;0;184
U232 Hotel ;8,4;4;4;1;22;0;192
Eurostars Ramblas Boquer?a ;8,1;3;3;0;21;0;165
Axel Hotel Barcelona & Urban Spa ;8;4;3;1;20;1;157
Confortel Barcelona;7,9;4;0,5;2;25;1;193
Confortel Almirante;7,1;4;2;0;15;0;193
Hotel Pulitzer ;8,8;4;3;0;15;0;176
Hotel Regina ;8,2;4;3;0;23;0;187
Praktik Rambla ;8,7;3;3;1;15;0;150
